Années,Kilométrage,Le nombre de chevaux,Prix
2005,250000,6,90000
2004,215000,7,85000
2010,145000,8,110000
2015,90000,6,130000
2017,65000,9,160000
2012,150000,7,120000
2010,160000,7,95000
2012,155000,7,120000
2015,85000,6,132000
2018,52000,6,175000
2014,130000,7,140000
2013,130000,7,140000
2013,170000,6,135000
2016,110000,6,155000
2019,55000,7,210000
2011,140000,7,111000
2009,185000,6,90000
2008,170000,6,105000
2016,105000,8,165000
2017,96000,8,190000
2010,210000,6,110000
2011,205000,7,100000
2011,215000,7,115000
2012,230000,6,115000
2012,235000,6,120000
2012,190000,8,110000
2017,76000,8,170000
2017,84000,6,195000
2017,84000,7,180000
2018,45000,7,220000
2014,180000,8,113500
2015,145000,6,145500
2013,130000,7,124500
2013,130000,7,125000
2014,174000,8,135000
2014,168000,6,135000
2015,136000,7,145000
2017,90000,7,190000
2017,85000,6,176000
2017,65000,6,205000
2012,230000,6,120000
2012,235000,6,117000
2013,190000,8,125000
2017,76000,8,168000
2017,84000,6,188000
2017,84000,7,180000
2018,45000,7,215000
2014,180000,8,113500
2015,145000,6,145500
